Number of Images: 2
opening  /proj3/Slimer/Slimer_mk2/7_10_2013/no_source_7_10_2013_200msec/no_source_7_10_2013_200msec001t11118.tif
opening  /proj3/Slimer/Slimer_mk2/7_10_2013/no_source_7_10_2013_200msec/no_source_7_10_2013_200msec001t01118.tif
preparing to cycle
DBSCAN maxCounts: 0.0
DBSCAN maxCounts: 0.0
done with cycle
         11305648 function calls (11301641 primitive calls) in 55.320 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(DeprecatedOption)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(RegisteredOption)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        3    0.000    0.000    0.001    0.000 <string>:1(_held_figure)
        6    0.000    0.000    0.003    0.000 <string>:1(non_reentrant)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       24    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 ArgImagePlugin.py:21(<module>)
        1    0.000    0.000    0.000    0.000 ArgImagePlugin.py:32(ArgStream)
        2    0.000    0.000    0.000    0.000 ArgImagePlugin.py:399(_accept)
        1    0.000    0.000    0.000    0.000 ArgImagePlugin.py:405(ArgImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:173(DibImageFile)
        1    0.005    0.005    0.005    0.005 BmpImagePlugin.py:27(<module>)
        3    0.000    0.000    0.000    0.000 BmpImagePlugin.py:55(_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:61(BmpImageFile)
        1    0.000    0.000    0.000    0.000 BufrStubImagePlugin.py:12(<module>)
        2    0.000    0.000    0.000    0.000 BufrStubImagePlugin.py:28(_accept)
        1    0.000    0.000    0.000    0.000 BufrStubImagePlugin.py:31(BufrStubImageFile)
        1    0.000    0.000    0.000    0.000 CurImagePlugin.py:20(<module>)
        2    0.000    0.000    0.000    0.000 CurImagePlugin.py:35(_accept)
        1    0.000    0.000    0.000    0.000 CurImagePlugin.py:41(CurImageFile)
        1    0.000    0.000    0.000    0.000 DcxImagePlugin.py:24(<module>)
        2    0.000    0.000    0.000    0.000 DcxImagePlugin.py:32(i32)
        2    0.000    0.000    0.000    0.000 DcxImagePlugin.py:35(_accept)
        1    0.000    0.000    0.000    0.000 DcxImagePlugin.py:41(DcxImageFile)
        2    0.000    0.000    0.000    0.000 EpsImagePlugin.py:118(_accept)
        1    0.000    0.000    0.000    0.000 EpsImagePlugin.py:125(EpsImageFile)
        1    0.000    0.000    0.001    0.001 EpsImagePlugin.py:21(<module>)
        2    0.000    0.000    0.000    0.000 EpsImagePlugin.py:29(i32)
        1    0.000    0.000    0.000    0.000 EpsImagePlugin.py:84(PSFile)
        1    0.000    0.000    0.000    0.000 FitsStubImagePlugin.py:12(<module>)
        2    0.000    0.000    0.000    0.000 FitsStubImagePlugin.py:28(_accept)
        1    0.000    0.000    0.000    0.000 FitsStubImagePlugin.py:31(FITSStubImageFile)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 FliImagePlugin.py:19(<module>)
        2    0.000    0.000    0.000    0.000 FliImagePlugin.py:25(i16)
        2    0.000    0.000    0.000    0.000 FliImagePlugin.py:34(_accept)
        1    0.000    0.000    0.000    0.000 FliImagePlugin.py:41(FliImageFile)
